maintenance_id,transformer_id,maintenance_date,maintenance_type,technician,temperature_before_c,vibration_before_mm_s,oil_condition_score,maintenance_result,next_maintenance_date
MAIN0321,TR100,2026-03-01 14:38:01,Routine Inspection,Team Bravo,61.73,3.108,79.4,Action Required,2026-03-25
MAIN0092,TR032,2026-03-01 22:05:28,Routine Inspection,Team Charlie,71.55,1.958,88.54,Normal,2026-06-29
MAIN0322,TR100,2026-03-03 15:42:49,Oil Testing,Team Alpha,66.96,1.965,93.06,Good,2026-07-21
MAIN0093,TR032,2026-03-04 16:29:39,Oil Filtration,Team Alpha,69.53,1.724,90.53,Completed,2026-07-19
MAIN0259,TR081,2026-03-04 19:19:52,Preventive Maintenance,Team Alpha,59.34,1.982,94.8,Completed,2026-06-14
MAIN0094,TR033,2026-03-05 01:06:40,Oil Testing,Team Foxtrot,68.51,2.565,83.1,Action Required,2026-03-25
MAIN0161,TR052,2026-03-05 08:17:03,Cooling System Inspection,Team Echo,72.4,2.47,75.82,Fan Issue Found,2026-09-01
MAIN0032,TR012,2026-03-05 11:21:08,Vibration Inspection,Team Charlie,85.64,3.106,52.03,Elevated Vibration,2026-04-12
MAIN0089,TR030,2026-03-06 13:21:06,Routine Inspection,Team Foxtrot,64.45,2.95,69.85,Action Required,2026-03-26
MAIN0312,TR097,2026-03-08 09:37:35,Routine Inspection,Team Bravo,66.0,2.294,77.93,Action Required,2026-03-27
MAIN0171,TR056,2026-03-09 08:52:43,Routine Inspection,Team Alpha,54.79,2.033,80.91,Normal,2026-07-19
MAIN0235,TR074,2026-03-10 22:36:22,Preventive Maintenance,Team Foxtrot,68.71,1.17,82.39,Completed,2026-07-18
MAIN0049,TR016,2026-03-10 23:33:46,Routine Inspection,Team Charlie,63.19,2.73,64.76,Minor Issue Found,2026-04-19
MAIN0272,TR085,2026-03-11 19:55:14,Routine Inspection,Team Echo,63.86,1.454,77.27,Normal,2026-08-04
MAIN0073,TR025,2026-03-12 17:13:52,Oil Filtration,Team Foxtrot,68.27,1.453,92.56,Completed - Monitoring Required,2026-05-19
MAIN0229,TR073,2026-03-14 14:07:57,Thermal Inspection,Team Bravo,96.55,4.491,54.06,Hotspot Detected,2026-07-13
MAIN0134,TR043,2026-03-14 14:40:55,Electrical Testing,Team Bravo,64.48,2.214,79.42,Failed - Repair Required,2026-03-31
MAIN0113,TR038,2026-03-14 22:33:41,Routine Inspection,Team Foxtrot,68.41,2.027,94.97,Normal,2026-06-24
MAIN0313,TR097,2026-03-15 11:55:14,Routine Inspection,Team Bravo,71.8,2.339,80.38,Minor Issue Found,2026-04-21
MAIN0250,TR078,2026-03-15 15:08:13,Vibration Inspection,Team Echo,65.32,2.21,69.58,Action Required,2026-04-04
MAIN0031,TR011,2026-03-17 03:57:39,Routine Inspection,Team Echo,64.28,3.152,53.21,Minor Issue Found,2026-05-08
MAIN0077,TR027,2026-03-17 15:58:15,Preventive Maintenance,Team Delta,64.2,4.07,83.95,Completed,2026-07-09
MAIN0142,TR046,2026-03-18 13:33:35,Routine Inspection,Team Foxtrot,70.35,2.771,74.57,Action Required,2026-04-06
MAIN0176,TR057,2026-03-18 18:16:44,Vibration Inspection,Team Echo,71.66,2.864,88.06,Action Required,2026-03-27
MAIN0136,TR044,2026-03-19 17:27:10,Routine Inspection,Team Charlie,69.31,2.468,86.96,Minor Issue Found,2026-04-17
MAIN0072,TR025,2026-03-19 18:42:13,Electrical Testing,Team Delta,71.29,3.255,94.74,Failed - Repair Required,2026-04-09
MAIN0054,TR018,2026-03-20 12:25:55,Electrical Testing,Team Echo,72.03,3.325,71.8,Minor Deviation,2026-05-03
MAIN0075,TR026,2026-03-20 14:49:23,Oil Filtration,Team Charlie,63.35,2.059,92.39,Completed,2026-09-13
MAIN0121,TR041,2026-03-20 18:05:51,Oil Filtration,Team Echo,80.92,3.292,57.52,Completed,2026-08-03
MAIN0135,TR044,2026-03-22 00:20:02,Cooling System Inspection,Team Charlie,70.06,2.796,84.83,Fan Issue Found,2026-07-01
MAIN0098,TR034,2026-03-22 09:46:15,Routine Inspection,Team Foxtrot,72.31,2.113,82.41,Normal,2026-06-05
MAIN0130,TR042,2026-03-22 16:41:19,Vibration Inspection,Team Delta,64.81,1.982,87.99,Normal,2026-05-29
MAIN0112,TR038,2026-03-23 14:47:37,Thermal Inspection,Team Echo,57.66,1.509,64.81,Action Required,2026-03-30
MAIN0249,TR078,2026-03-23 18:29:31,Preventive Maintenance,Team Alpha,72.01,2.585,94.57,Completed,2026-06-16
MAIN0317,TR099,2026-03-24 06:45:06,Oil Filtration,Team Alpha,65.89,1.936,80.46,Completed,2026-06-23
MAIN0234,TR074,2026-03-24 19:55:43,Oil Testing,Team Echo,52.94,1.736,74.23,Good,2026-09-19
MAIN0258,TR081,2026-03-25 09:20:15,Oil Filtration,Team Delta,67.58,1.779,74.07,Completed - Monitoring Required,2026-07-11
MAIN0099,TR034,2026-03-25 18:09:55,Electrical Testing,Team Charlie,53.5,3.095,73.81,Failed - Repair Required,2026-04-24
MAIN0294,TR092,2026-03-26 01:27:11,Electrical Testing,Team Delta,58.43,2.491,77.63,Passed,2026-07-06
MAIN0046,TR015,2026-03-26 03:56:08,Preventive Maintenance,Team Charlie,62.39,2.135,80.94,Completed,2026-07-29
MAIN0309,TR096,2026-03-26 05:49:40,Routine Inspection,Team Bravo,75.17,3.217,91.79,Normal,2026-09-09
MAIN0105,TR036,2026-03-26 11:46:28,Oil Testing,Team Echo,77.94,2.169,84.53,Degraded,2026-04-23
MAIN0174,TR057,2026-03-27 14:07:03,Cooling System Inspection,Team Charlie,64.89,1.809,97.87,Normal,2026-07-24
MAIN0184,TR060,2026-03-27 19:30:04,Routine Inspection,Team Alpha,65.74,2.426,76.89,Action Required,2026-04-18
MAIN0256,TR081,2026-03-29 07:27:20,Preventive Maintenance,Team Echo,70.05,2.353,88.93,Completed,2026-06-01
MAIN0227,TR072,2026-03-29 09:57:34,Preventive Maintenance,Team Charlie,72.39,2.318,90.7,Completed - Follow-up Required,2026-05-05
MAIN0120,TR040,2026-03-29 17:55:43,Preventive Maintenance,Team Foxtrot,66.22,1.861,93.45,Completed,2026-08-28
MAIN0183,TR059,2026-03-30 20:18:25,Oil Testing,Team Delta,55.82,1.828,92.38,Good,2026-07-30
MAIN0003,TR001,2026-03-31 02:34:41,Vibration Inspection,Team Alpha,66.4,2.561,80.27,Elevated Vibration,2026-05-21
MAIN0078,TR027,2026-04-01 19:12:21,Oil Testing,Team Charlie,81.16,2.969,68.58,Degraded,2026-05-22
MAIN0005,TR002,2026-04-01 20:03:18,Cooling System Inspection,Team Alpha,70.53,2.144,83.88,Normal,2026-06-10
MAIN0263,TR082,2026-04-04 17:48:27,Emergency Repair,Team Delta,66.23,2.288,60.69,Replacement Recommended,2026-04-25
MAIN0318,TR099,2026-04-05 03:41:30,Emergency Repair,Team Echo,72.44,2.067,85.61,Repaired,2026-07-28
MAIN0023,TR009,2026-04-05 20:32:50,Oil Testing,Team Bravo,53.93,1.661,97.92,Good,2026-10-02
MAIN0156,TR050,2026-04-06 02:52:18,Electrical Testing,Team Bravo,66.72,2.206,69.72,Minor Deviation,2026-05-30
MAIN0237,TR075,2026-04-06 08:45:58,Electrical Testing,Team Echo,62.62,2.648,79.25,Failed - Repair Required,2026-04-16
MAIN0107,TR037,2026-04-06 11:58:02,Electrical Testing,Team Bravo,67.57,2.712,60.7,Failed - Repair Required,2026-04-28
MAIN0283,TR089,2026-04-07 09:07:36,Oil Filtration,Team Foxtrot,73.56,3.005,77.17,Completed - Monitoring Required,2026-09-30
MAIN0202,TR065,2026-04-07 09:20:16,Electrical Testing,Team Bravo,78.85,2.922,85.73,Failed - Repair Required,2026-05-04
MAIN0050,TR016,2026-04-08 22:07:51,Routine Inspection,Team Foxtrot,66.3,2.909,85.57,Action Required,2026-05-06
MAIN0303,TR095,2026-04-09 01:39:48,Emergency Repair,Team Alpha,76.76,2.091,74.71,Temporary Repair,2026-07-11
MAIN0125,TR041,2026-04-09 05:50:05,Thermal Inspection,Team Charlie,69.74,2.954,66.22,Normal,2026-09-10
MAIN0012,TR005,2026-04-09 05:59:22,Routine Inspection,Team Delta,75.26,2.948,71.57,Action Required,2026-04-17
MAIN0146,TR047,2026-04-09 09:18:34,Electrical Testing,Team Charlie,67.07,2.285,74.06,Failed - Repair Required,2026-05-07
MAIN0042,TR014,2026-04-10 16:08:28,Electrical Testing,Team Alpha,63.7,2.277,84.12,Minor Deviation,2026-05-14
MAIN0082,TR028,2026-04-11 05:10:36,Routine Inspection,Team Echo,68.39,1.843,75.67,Normal,2026-10-05
MAIN0145,TR047,2026-04-12 17:10:26,Oil Filtration,Team Echo,76.59,1.445,86.32,Completed - Monitoring Required,2026-06-19
MAIN0087,TR030,2026-04-13 15:49:24,Oil Testing,Team Charlie,76.36,2.732,67.76,Degraded,2026-05-04
MAIN0169,TR055,2026-04-14 07:17:14,Routine Inspection,Team Charlie,56.24,1.484,93.19,Normal,2026-08-29
MAIN0304,TR095,2026-04-14 11:59:29,Oil Testing,Team Delta,74.47,2.28,93.34,Action Required,2026-04-25
MAIN0210,TR067,2026-04-14 13:18:32,Electrical Testing,Team Charlie,59.37,2.422,75.68,Minor Deviation,2026-05-27
MAIN0102,TR035,2026-04-14 19:45:06,Preventive Maintenance,Team Charlie,65.22,2.39,78.68,Completed,2026-09-14
MAIN0247,TR078,2026-04-15 18:11:12,Emergency Repair,Team Alpha,77.98,2.442,94.79,Repaired,2026-07-21
MAIN0163,TR052,2026-04-15 18:23:26,Preventive Maintenance,Team Delta,54.57,1.312,82.81,Completed,2026-07-17
MAIN0193,TR062,2026-04-16 18:24:26,Routine Inspection,Team Foxtrot,72.68,2.499,67.54,Normal,2026-08-16
MAIN0315,TR098,2026-04-17 12:57:30,Partial Discharge Test,Team Alpha,69.13,2.076,84.62,Normal,2026-10-04
MAIN0265,TR083,2026-04-17 16:22:11,Routine Inspection,Team Echo,63.69,2.773,82.78,Action Required,2026-04-26
MAIN0001,TR001,2026-04-17 19:07:32,Routine Inspection,Team Bravo,69.75,2.369,83.09,Action Required,2026-05-13
MAIN0241,TR076,2026-04-18 12:04:26,Thermal Inspection,Team Alpha,67.74,1.359,97.78,Normal,2026-06-26
MAIN0290,TR091,2026-04-18 22:47:58,Vibration Inspection,Team Foxtrot,57.14,2.186,75.08,Action Required,2026-04-27
MAIN0277,TR087,2026-04-19 11:06:31,Routine Inspection,Team Alpha,58.69,2.322,94.16,Normal,2026-08-27
MAIN0232,TR073,2026-04-19 17:29:23,Oil Filtration,Team Bravo,70.11,3.249,81.6,Completed,2026-06-24
MAIN0319,TR100,2026-04-20 05:16:50,Preventive Maintenance,Team Bravo,64.02,2.564,76.11,Completed - Follow-up Required,2026-05-19
MAIN0305,TR095,2026-04-20 09:57:48,Electrical Testing,Team Bravo,56.75,1.77,95.2,Passed,2026-08-28
MAIN0246,TR077,2026-04-20 10:06:02,Oil Filtration,Team Alpha,66.83,1.828,96.82,Completed - Monitoring Required,2026-08-21
MAIN0276,TR086,2026-04-20 14:21:50,Oil Testing,Team Delta,64.38,1.842,88.56,Good,2026-10-04
MAIN0143,TR047,2026-04-21 12:46:58,Preventive Maintenance,Team Alpha,70.06,3.385,79.31,Completed - Follow-up Required,2026-05-20
MAIN0273,TR086,2026-04-21 19:00:36,Oil Filtration,Team Bravo,57.51,1.819,86.02,Completed - Monitoring Required,2026-08-05
MAIN0165,TR053,2026-04-22 04:09:35,Partial Discharge Test,Team Foxtrot,65.31,3.279,86.53,Action Required,2026-05-22
MAIN0205,TR066,2026-04-22 17:56:50,Thermal Inspection,Team Foxtrot,63.59,2.794,80.46,Hotspot Detected,2026-07-17
MAIN0026,TR009,2026-04-23 14:06:28,Oil Testing,Team Bravo,67.52,2.194,84.27,Degraded,2026-05-16
MAIN0239,TR076,2026-04-24 16:43:29,Vibration Inspection,Team Delta,69.98,2.819,77.04,Action Required,2026-05-18
MAIN0084,TR029,2026-04-24 17:42:30,Oil Testing,Team Bravo,64.8,3.229,77.81,Degraded,2026-05-29
MAIN0104,TR036,2026-04-27 03:26:56,Electrical Testing,Team Foxtrot,69.86,2.347,80.04,Passed,2026-07-25
MAIN0264,TR083,2026-04-27 06:04:35,Routine Inspection,Team Bravo,67.66,3.275,74.43,Action Required,2026-05-21
MAIN0181,TR058,2026-04-28 03:21:41,Thermal Inspection,Team Delta,80.97,4.19,44.71,Action Required,2026-05-23
MAIN0020,TR007,2026-04-28 10:16:12,Routine Inspection,Team Echo,69.53,2.292,67.24,Minor Issue Found,2026-05-20
MAIN0129,TR042,2026-04-28 10:52:30,Routine Inspection,Team Echo,60.93,3.21,79.04,Action Required,2026-05-12
MAIN0251,TR079,2026-04-30 08:00:10,Partial Discharge Test,Team Foxtrot,66.58,2.991,84.12,Action Required,2026-05-09
MAIN0018,TR006,2026-04-30 21:07:16,Routine Inspection,Team Foxtrot,67.59,2.87,97.19,Minor Issue Found,2026-06-04
MAIN0040,TR013,2026-05-01 00:35:59,Preventive Maintenance,Team Bravo,69.58,2.553,75.91,Completed - Follow-up Required,2026-06-04
MAIN0090,TR031,2026-05-01 14:48:20,Thermal Inspection,Team Foxtrot,76.36,2.28,90.9,Normal,2026-07-15
MAIN0140,TR046,2026-05-02 00:33:38,Oil Testing,Team Delta,59.16,1.786,99.43,Good,2026-07-26
MAIN0248,TR078,2026-05-02 19:22:59,Routine Inspection,Team Alpha,57.94,1.731,85.59,Normal,2026-07-27
MAIN0122,TR041,2026-05-03 20:58:14,Vibration Inspection,Team Echo,60.14,2.69,66.56,Action Required,2026-05-23
MAIN0148,TR048,2026-05-03 21:29:15,Oil Testing,Team Charlie,65.45,2.816,85.66,Action Required,2026-05-29
MAIN0063,TR022,2026-05-04 06:51:46,Thermal Inspection,Team Charlie,80.28,2.554,68.75,Hotspot Detected,2026-07-13
MAIN0158,TR051,2026-05-04 16:29:17,Routine Inspection,Team Charlie,74.76,1.798,88.25,Action Required,2026-06-03
MAIN0266,TR083,2026-05-04 23:06:15,Partial Discharge Test,Team Alpha,75.74,3.167,79.96,Action Required,2026-05-11
MAIN0191,TR062,2026-05-04 23:25:38,Oil Testing,Team Bravo,74.74,2.428,69.62,Action Required,2026-05-25
MAIN0091,TR031,2026-05-05 03:26:35,Preventive Maintenance,Team Bravo,63.58,3.202,90.04,Completed - Follow-up Required,2026-05-29
MAIN0287,TR090,2026-05-06 17:04:47,Preventive Maintenance,Team Delta,70.98,2.262,74.09,Completed - Follow-up Required,2026-06-25
MAIN0115,TR039,2026-05-07 03:16:59,Oil Filtration,Team Alpha,67.5,2.329,93.09,Completed,2026-09-19
MAIN0218,TR069,2026-05-07 15:54:51,Routine Inspection,Team Echo,62.77,2.417,67.23,Minor Issue Found,2026-06-28
MAIN0225,TR071,2026-05-07 22:28:18,Oil Filtration,Team Alpha,67.3,2.159,78.89,Completed - Monitoring Required,2026-08-23
MAIN0195,TR063,2026-05-08 08:16:03,Electrical Testing,Team Echo,74.14,2.621,82.55,Minor Deviation,2026-06-26
MAIN0068,TR024,2026-05-08 19:28:21,Preventive Maintenance,Team Charlie,71.07,1.971,92.62,Completed - Follow-up Required,2026-06-21
MAIN0275,TR086,2026-05-09 05:06:09,Routine Inspection,Team Echo,58.32,2.955,82.18,Minor Issue Found,2026-06-20
MAIN0197,TR063,2026-05-09 19:33:23,Thermal Inspection,Team Foxtrot,65.4,3.462,89.79,Hotspot Detected,2026-07-19
